gene	OVCAR3_MOCK	OVCAR3_KO	log2FC_OVCAR3	DEG_OVCAR3	SKOV3_MOCK	SKOV3_KO	log2FC_SKOV3	DEG_SKOV3
DDX11L1	0	1	1	Upregulated	0	0	0	Neutral
WASH7P	55	35	-0.6374299206152917	Downregulated	115	77	-0.5725787762653237	Downregulated
LOC100996442	20	239	3.5145731728297585	Upregulated	66	16	-1.978626349207433	Downregulated
RN7SL657P	0	5	2.584962500721156	Upregulated	1	2	0.5849625007211562	Upregulated
LOC653160	7	16	1.0874628412503393	Upregulated	10	5	-0.8744691179161412	Downregulated
LOC105377115	1	2	0.5849625007211562	Upregulated	3	0	-2	Downregulated
PTPRG	1383	611	-1.177240384944073	Downregulated	1359	924	-0.5560813807340272	Downregulated
LOC107986016	3	96	4.599912842187128	Upregulated	26	1	-3.7548875021634687	Downregulated
RPL10AP6	1	3	1	Upregulated	3	3	0	Neutral
ID2B	0	2	1.584962500721156	Upregulated	1	0	-1	Downregulated
LOC105377116	0	14	3.9068905956085187	Upregulated	3	3	0	Neutral
PTPRG-AS1	2	8	1.584962500721156	Upregulated	0	2	1.584962500721156	Upregulated
C3orf14	0	3	2	Upregulated	0	0	0	Neutral
TMEM35B	118	157	0.40896298486915933	Upregulated	296	173	-0.7713756249520375	Downregulated
RPS10P10	0	0	0	Neutral	1	0	-1	Downregulated
LINC00698	1	1	0	Neutral	0	1	1	Upregulated
LOC107986043	0	0	0	Neutral	3	1	-1	Downregulated
ZMYM6	328	349	0.0892673380970873	Upregulated	393	282	-0.47739357662449394	Downregulated
LOC100130345	0	4	2.321928094887362	Upregulated	4	0	-2.321928094887362	Downregulated
C3orf49	0	1	1	Upregulated	0	1	1	Upregulated
THOC7	559	752	0.42722303772696185	Upregulated	1337	893	-0.5817313794581431	Downregulated
THOC7-AS1	0	0	0	Neutral	1	1	0	Neutral
ATXN7	482	746	0.6290850539534639	Upregulated	838	573	-0.5476200737641354	Downregulated
PSMD6-AS2	7	55	2.807354922057604	Upregulated	10	14	0.44745897697122117	Upregulated
PSMD6	1620	1417	-0.19302655827802545	Downregulated	3966	2893	-0.45498347561355607	Downregulated
PRICKLE2	3	1	-1	Downregulated	11	8	-0.4150374992788438	Downregulated
PRDX3P4	0	1	1	Upregulated	0	0	0	Neutral
ZMYM1	612	1088	0.8290449750261254	Upregulated	1518	1006	-0.5930581864952987	Downregulated
PRICKLE2-AS3	1	2	0.5849625007211562	Upregulated	3	0	-2	Downregulated
LOC105377123	0	0	0	Neutral	0	1	1	Upregulated
ADAMTS9	1	1	0	Neutral	0	1	1	Upregulated
EFCAB14P1	1	1	0	Neutral	0	0	0	Neutral
LOC107986094	0	3	2	Upregulated	0	0	0	Neutral
ILF2P1	1	7	2	Upregulated	0	0	0	Neutral
LOC105377130	5	61	3.3692338096657193	Upregulated	7	1	-2	Downregulated
LOC107986018	3	26	2.7548875021634687	Upregulated	4	2	-0.7369655941662062	Downregulated
RPL17P17	1	6	1.8073549220576042	Upregulated	1	0	-1	Downregulated
MAGI1-IT1	6	39	2.5145731728297585	Upregulated	16	3	-2.0874628412503395	Downregulated
MAGI1-AS1	0	5	2.584962500721156	Upregulated	0	1	1	Upregulated
LOC105378644	1	0	-1	Downregulated	0	0	0	Neutral
SFPQ	5051	7702	0.6085657861896236	Upregulated	8248	5828	-0.5009708349887043	Downregulated
LOC105377142	1	0	-1	Downregulated	0	0	0	Neutral
KBTBD8	56	86	0.6100534816839867	Upregulated	394	308	-0.3542458151600908	Downregulated
SUCLG2	1236	1646	0.41299505474998505	Upregulated	1852	1015	-0.8669624792551001	Downregulated
NDUFB4P1	0	0	0	Neutral	0	1	1	Upregulated
LOC105377148	1	12	2.700439718141092	Upregulated	4	0	-2.321928094887362	Downregulated
