Gene Symbol	SKOV_MOCK
DDX11L1	0
WASH7P	115
LOC100996442	66
RN7SL657P	1
LOC653160	10
LOC105377114	0
LOC105377115	3
PTPRG	1359
LOC107986016	26
RPL10AP6	3
RNU2-10P	0
ID2B	1
LOC105377116	3
PTPRG-AS1	0
C3orf14	0
TMEM35B	296
FEZF2	0
LOC105377647	0
CADPS	0
RPL14P2	0
RN7SL863P	0
RNU6-139P	0
RPS10P10	1
KRT8P35	0
LINC00698	0
LOC107986043	3
ZMYM6	393
SYNPR	0
UBL5P3	0
SYNPR-AS1	0
RNA5SP134	0
SNTN	0
LOC105377119	0
LOC100130345	4
C3orf49	0
THOC7	1337
THOC7-AS1	1
RPL12P45	0
ATXN7	838
PSMD6-AS2	10
PSMD6	3966
LOC105377121	0
LOC107986093	0
PRICKLE2-AS1	0
LINC00994	0
PRICKLE2	11
PRICKLE2-AS2	0
PRDX3P4	0
ZMYM1	1518
PRICKLE2-AS3	3
LOC101929316	0
LOC105377123	0
RNU6-739P	0
ADAMTS9	0
ADAMTS9-AS1	0
ADAMTS9-AS2	0
LOC105377124	0
LOC107986017	0
LOC105377125	0
EFCAB14P1	0
LOC105377127	0
LOC102724763	0
LOC107986094	0
MAGI1	871
ILF2P1	0
LOC105377130	7
LOC107986018	4
RPL17P17	1
MAGI1-IT1	16
MAGI1-AS1	0
LOC105378644	0
LOC105377128	0
SLC25A26	43
LOC107986095	0
RNU6-787P	0
RN7SL482P	0
DPPA4P1	0
LRIG1	24
LOC105377141	0
LOC107986036	0
RPL21P41	0
SFPQ	8248
LOC105377142	0
LOC105377143	0
LOC105377144	0
KBTBD8	394
SUCLG2	1852
NDUFB4P1	0
LOC105377148	4
SUCLG2-AS1	0
FAM19A1	0
ZMYM4	1755
COPS8P2	0
LOC107986019	0
LOC105377146	0
RPLP0P8	0
PSMC1P1	231
FAM19A4	0
RNA5SP135	0
EOGT	309
TMF1	2196
RN7SL503P	0
UBA3	1961
ARL6IP5	1439
LMOD3	0
FRMD4B	84
RBM43P1	0
LOC642487	0
MITF	182
RN7SL418P	0
SAMMSON	0
RNPC3P1	0
LOC107984868	1
RPL5P4	4
UQCRHP4	0
LOC105377151	0
LOC107986096	0
LOC105377152	0
COX6CP6	0
HMGB1P36	0
RNU6-281P	0
FOXP1	300
FOXP1-AS1	1
RNY5P1	0
LOC105377155	0
EIF4E3	417
GPR27	0
PROK2	0
LOC105377156	0
RN7SL271P	0
LOC105377157	0
UBE2Q2P9	0
LINC00877	0
CCDC137P	0
KIAA0319L	789
LINC00870	3
LOC105377158	0
LOC105377159	0
RYBP	29
LOC105377160	0
LOC105377648	0
RNU1-62P	0
LOC105377161	0
LOC102724817	0
LOC105377162	0
LOC100419802	0
RNA5SP136	0
SHQ1	819
LOC107986097	1
LOC107986033	3
GXYLT2	49
PSMD12P	0
LAPTM4BP2	0
FTH1P23	7
PPP4R2	2801
RNU7-19P	0
NCDN	694
EBLN2	22
LOC107986098	0
RNU2-64P	0
CCDC75P1	0
RNU6-1270P	0
PDZRN3	0
LOC101927296	0
RNU7-119P	0
PDZRN3-AS1	0
LOC105377164	0
LOC105378645	18
LOC105377165	0
LOC101927346	0
HSP90AB5P	0
AKR1B1P2	0
CNTN3	1
LOC105377166	0
LOC105377167	0
LOC105377168	0
NIPA2P2	0
LOC107986099	0
TFAP2E	252
RN7SL294P	0
HNRNPA3P6	154
LOC105377207	0
MYLKP1	0
OR7E66P	0
OR7E22P	0
OR7E55P	0
LOC105377169	0
LSP1P2	0
PSMB2	3800
ALG1L6P	17
FAM86DP	160
LOC107986100	2
ENPP7P2	1
SNRPCP10	0
RPS3AP15	0
LOC107986101	0
OR7E121P	0
UNC93B3	0
LOC107986102	13
LOC105378646	0
RPL23AP49	3
CLUHP10	0
FRG2C	0
AGGF1P3	4
RARRES2P1	1
DUX4L26	0
LINC00960	47
ZNF717	0
C1orf216	197
ROBO2	0
LOC107986020	0
CAP1P1	0
LOC102724949	0
RNU6-386P	0
VDAC1P7	0
RNU6-217P	0
LOC105377171	0
LOC105377172	0
LOC105377173	0
ANKRD65	0
CLSPN	1466
RN7SL647P	0
RN7SKP61	0
MRPS17P3	0
ROBO1	51
RPS12P6	0
RN7SL751P	0
LOC101927374	22
HMGB1P38	0
OSBPL9P1	0
AGO4	255
HNRNPA3P8	0
LOC105377177	0
LOC105377176	0
LOC105377175	0
LOC105377174	0
LINC02027	0
GBE1	1064
RNU2-28P	0
SETP6	0
LOC105377178	0
AGO1	1276
LOC105377179	0
LOC105377180	40
RPL7AP23	0
CYP51A1P1	4
LOC101927439	0
LOC105377181	0
LOC105377183	0
LOC105377186	0
LOC105377187	0
SRRM1P2	0
AGO3	1195
LOC105377188	0
LINC00971	1
LOC100130326	0
LOC105377192	0
LOC105377193	0
CADM2	0
SNORA95	0
CADM2-AS2	0
THAP12P2	0
LOC105378647	1
LOC102723364	0
RNU6-1129P	0
RN7SKP284	0
LINC02070	0
LOC101927518	0
LOC105377196	0
VGLL3	41
LOC285232	1
PPATP1	0
LINC00506	107
LOC100128093	0
CHMP2B	2517
POU1F1	0
KRT8P25	0
APOOP2	0
PSMC1P6	0
LOC105377198	0
RNU6-873P	0
HTR1F	0
RNU6ATAC6P	0
TEKT2	1
CGGBP1	1302
ZNF654	599
CBX5P1	5
C3orf38	822
LOC105377202	0
ABCF2P1	0
NDUFA5P5	0
ICE2P2	0
GAPDHP50	0
EPHA3	0
ADPRHL2	1127
MTCO3P6	0
MTATP6P6	0
MTCO2P6	0
MTCO1P6	0
RNU6-712P	0
PROS2P	3
HSPE1P19	0
LOC101930420	0
LOC107984021	0
LOC107986037	0
COL8A2	0
RNU6-488P	0
PROS1	254
RNU6-511P	0
ARL13B	396
HMGN1P7	4
STX19	11
DHFR2	95
NSUN3	137
RBBP4P2	4
ARMC10P1	74
TRAPPC3	1378
LOC105373992	0
WDR82P1	0
LINC00879	0
RPS18P6	0
MTHFD2P1	2
HNRNPKP4	2
LOC391556	0
RNU6-1094P	0
MTRNR2L12	0
LOC105378585	1
MAP7D1	4026
RPL18AP8	0
RCC2P5	0
CDV3P1	0
EPHA6	1
LOC107986103	0
LOC101929278	0
ARL6	246
LOC101929298	0
CRYBG3	910
LOC105373994	2
THRAP3	4478
RIOX2	1925
GABRR3	0
OR5BM1P	0
OR5AC1	0
OR5AC2	0
OR5AC4P	0
POU5F1P7	0
OR5H1	0
LOC105373996	0
OR5H14	0
UBE2V2P4	0
OR5H15	0
LOC105373998	0
LOC105373997	0
OR5H5P	0
OR5H3P	0
OR5H4P	0
LOC101929320	0
OR5H7P	0
LOC105373999	0
OR5H6	0
LOC107984938	14
OR5H2	0
OR5H8	0
OR5K4	0
LOC105374000	0
OR5K3	0
UBFD1P1	0
OR5K1	0
OR5K2	1
CLDND1	12027
RPL38P4	7
SH3D21	47
GPR15	84
CPOX	8606
RPL19P7	0
WWP1P1	0
ST3GAL6-AS1	15
ST3GAL6	118
PDLIM1P4	6
DCBLD2	13193
RNU6-26P	0
LOC105374002	13
EVA1B	210
RNU6-1263P	0
LOC105374003	259
ACTG1P13	0
LOC107986104	0
LOC105374004	0
LOC105374007	4
LOC105374006	0
LOC105374005	0
COL8A1	0
HP09053	0
STK40	572
CMSS1	2410
FILIP1L	2
LOC100506400	0
LOC105374010	22
LOC105374009	4
TMEM30CP	0
DUSP12P1	0
VTI1BP1	0
TBC1D23	1179
LOC107984939	38
NIT2	678
TOMM70	3843
LNP1	14
TMEM45A	166
ADGRG7	2
GMFBP1	0
TFG	2507
ABI3BP	5
LOC100421580	0
RNU6-865P	0
LSM10	1106
ACTR3P3	0
IMPG2	8
SENP7	273
ZNF90P1	1
LOC100287852	1
BTF3P16	1
FAM172BP	0
TRMT10C	1621
PCNP	5677
RPS18P5	190
RNU4-27P	0
RPL32P7	0
RNU6-1256P	0
ZBTB11	1915
RNY1P12	0
ZBTB11-AS1	194
RPL24	24026
LOC105374013	60
PDCL3P4	9
CEP97	662
NXPE3	189
TMEM88B	0
OSCP1	62
NFKBIZ	22
LINC02085	0
LOC101929411	0
LOC107986105	0
ZPLD1	0
LOC105374016	0
LOC107986106	0
LOC105374017	0
RNU6-461P	0
LOC105374018	0
LOC107984940	0
RNU1-43P	0
NDUFA4P2	0
LOC644681	0
TUBBP11	0
LOC100128179	0
TRE-CTC12-1	0
LOC105374019	21
LOC105374020	91
LOC391562	37
MRPS15	3448
LOC105374021	0
LOC107986107	1
LOC107986108	1
LOC105374023	0
ALCAM	2660
CBLB	206
LOC107986109	1
LOC105374024	0
LOC105374026	0
LOC105374027	0
CSF3R	0
LOC107986110	0
LOC107986111	0
LOC107986112	0
LOC101929485	0
LOC105374029	0
LOC101929534	0
LOC107986021	0
FCF1P3	0
MTND4P16	0
MTND4LP3	0
FTLP18	0
MTND3P6	0
MTND5P16	0
MTND6P6	0
MTND1P16	0
NMTRQ-TTG4-1	0
MTND2P14	0
RNU6-1308P	0
LOC344593	0
LINC00882	12
DUBR	32
LOC107984941	0
LOC649024	0
CCDC54	0
LOC101929579	0
LINC01990	0
BBX	3648
LINC00635	0
LINC00636	0
CD47	1195
LOC105374031	0
LINC01215	0
LOC105378648	0
IFT57	1031
HHLA2	0
HNRNPA1P17	0
MYH15	165
RPL13P8	8
KIAA1524	1432
DZIP3	880
LOC105374033	0
LOC105374034	0
RETNLB	0
GRIK3	1
TRAT1	0
GUCA1C	0
MORC1	0
MORC1-AS1	0
FLJ22763	0
LINC00488	0
RNU6-1236P	0
LOC100419877	0
DPPA2	0
DPPA4	0
LOC100129989	0
H3F3AP3	0
LINC01205	0
PPIAP15	0
DIMT1P1	0
LOC440973	0
LOC105377811	0
LOC105374036	0
RNU6ATAC15P	0
RNU6-636P	0
LOC105374037	0
RPSAP29	0
LOC151760	75
PVRL3-AS1	1
NECTIN3	5958
LOC105374038	1
LOC105374039	0
ATP6V0CP2	0
CD96	8
ZBED2	56
LINC01770	4
RNA5SP43	0
LOC100420394	0
PLCXD2	137
PLCXD2-AS1	3
PHLDB2	6620
LOC107984087	0
LOC105374040	8
ABHD10	6045
TAGLN3	19
RFKP2	6
TMPRSS7	5
RPS29P6	0
C3orf52	801
GCSAM	64
SLC9C1	9
LOC100420831	4
LOC100532749	2
CD200	3
LOC105374041	1
BTLA	18
OR7E100P	0
LOC107984942	0
ATG3	1625
SLC35A5	441
LINC01279	12
CCDC80	38
LOC100653395	10
LINC02042	1
LOC100129297	0
CD200R1L	0
CD200R1	7
GTPBP8	430
LINC01137	47
NEPRO	1661
LOC107986113	21
LOC107986114	2
LINC02044	2
LOC102723430	1
BOC	89
CFAP44	172
LOC101180897	0
PHF5DP	1
CFAP44-AS1	1
ZC3H12A	101
SPICE1	278
SIDT1	0
RN7SL767P	0
USF3	323
NAA50	6134
ATP6V1A	1602
GRAMD1C	276
RPS10P4	0
LOC100420528	2
VPS26AP1	0
ZDHHC23	291
CCDC191	123
LOC100127892	0
LOC105374048	0
QTRT2	1428
LOC391566	0
DRD3	0
ZNF80	1
MEAF6	1834
LOC107986115	0
LOC645180	0
TIGIT	3
ZBTB20	3587
ZBTB20-AS1	1
ZBTB20-AS5	0
ZBTB20-AS3	0
YBX1P3	0
ZBTB20-AS4	0
LOC101926886	0
EIF4E2P2	0
LOC105374051	0
GAP43	0
LSAMP	3
RN7SL815P	0
LOC105374053	0
LOC107986116	0
LOC105374052	0
LOC105378649	1
LSAMP-AS1	0
RN7SL582P	0
BZW1P2	301
TUSC7	0
LINC00901	0
RNU5E-8P	0
PTMAP8	0
LOC105374054	0
LOC105374056	0
SNIP1	611
RNU6-1200P	0
LOC100421670	0
LOC105374057	0
LOC101926953	0
LOC107986022	0
LOC105374058	0
LOC105374060	20
LOC101926968	1
LOC107983969	17
LOC105374059	8
LOC107985729	5
FTH1P1	2
IGSF11	5
IGSF11-AS1	0
C3orf30	0
UPK1B	1
B4GALT4	397
B4GALT4-AS1	0
ARHGAP31	115
RPS26P21	0
ARHGAP31-AS1	0
RNU6-1127P	0
RPS27P9	5
LOC107986117	2
TMEM39A	926
POGLUT1	235
TIMMDC1	1877
CD80	6
CSRP2P1	0
LOC107986118	0
ADPRH	62
PLA1A	0
LOC105374062	0
DNALI1	1
RPL10P7	1
POPDC2	8
COX17	679
LOC105374063	0
LOC105374064	0
MAATS1	2
NR1I2	0
PHBP8	1
GSK3B	2046
LOC100129707	3
GNL2	5616
LOC107986119	12
RN7SL762P	0
RN7SL397P	0
LOC105374065	0
GPR156	4
LOC442087	5
LRRC58	3449
LOC100130701	0
FSTL1	372
RSPO1	2
LOC107986120	0
LOC107986121	8
RPL34P9	0
NDUFB4	3682
HGD	5
RABL3	1196
MTCO1P29	0
MTCO2P29	0
GTF2E1	756
NAP1L1P3	0
C1orf109	1212
LINC02049	0
LOC105374069	81
STXBP5L	3
LOC100419755	0
LOC100422044	0
POLQ	427
RPL7AP11	1
ARGFX	2
FBXO40	3
CDCA8	998
HCLS1	7
RN7SL172P	0
RNU4-62P	0
GOLGB1	2956
IQCB1	1048
EAF2	99
SLC15A2	8
ILDR1	93
LOC101927010	1
CD86	0
EPHA10	142
CASR	0
HNRNPA1P23	0
CSTA	113
CCDC58	2301
FAM162A	1471
WDR5B	207
LOC102723582	4
LOC107986122	5
KPNA1	1899
LOC107984000	3
LOC105378650	0
LOC105374071	0
PARP9	152
DTX3L	342
PARP15	37
LOC100421636	0
EIF4BP8	0
PARP14	679
HSPBAP1	256
DIRC2	238
LINC02035	189
ACTN4P2	0
SEMA5B	6
PDIA5	550
SEC22A	329
ADCY5	12
HACD2	2921
MYLK-AS1	3
MYLK	39
MYLK-AS2	0
LOC105369194	1
VWA1	525
LOC100129497	0
CCDC14	1000
ROPN1	2
KALRN	128
RPL7P15	0
LOC105374077	0
LOC107986123	1
RNU6-143P	0
LOC105374076	0
MANEAL	322
LOC100420144	0
UMPS	1795
RPS26P22	0
ITGB5	1554
ENO1P3	2
MUC13	3
HEG1	151
RNA5SP137	0
SLC12A8	171
YRDC	1853
RNU6-230P	0
LOC105374079	0
ZNF148	1621
DUTP1	0
LOC100421437	4
LOC105374080	0
LOC105374081	0
SNX4	897
OSBPL11	641
C1orf122	765
LOC100419966	0
LOC100419969	0
OR7E130P	0
OR7E29P	0
OR7E93P	0
OR7E53P	0
OR7E97P	0
LOC105374312	6
RPS24P9	0
MTF1	1110
RPS3AP14	0
SNRPCP11	0
LOC101927056	0
ENPP7P4	0
LOC102723696	4
FAM86JP	181
ALG1L	11
LOC100533621	2
ROPN1B	4
SLC41A3	558
RPS2P13	0
LOC107983957	6
LOC105374085	0
ALDH1L1	7
ALDH1L1-AS1	0
LOC105374083	0
RNU1-30P	0
ALDH1L1-AS2	0
LOC105374086	0
LOC107986124	12
KLF15	71
INPP5B	377
LOC105374088	0
LOC107986044	0
CCDC37-AS1	0
CFAP100	2
