Gene Symbol	OVCAR3_MOCK
DDX11L1	0
WASH7P	55
LOC100996442	20
RN7SL657P	0
LOC653160	7
LOC105377114	0
LOC105377115	1
PTPRG	1383
LOC107986016	3
RPL10AP6	1
RNU2-10P	0
ID2B	0
LOC105377116	0
PTPRG-AS1	2
C3orf14	0
TMEM35B	118
FEZF2	0
LOC105377647	0
CADPS	0
RPL14P2	0
RN7SL863P	0
RNU6-139P	0
RPS10P10	0
KRT8P35	0
LINC00698	1
LOC107986043	0
ZMYM6	328
SYNPR	0
UBL5P3	0
SYNPR-AS1	0
RNA5SP134	0
SNTN	0
LOC105377119	0
LOC100130345	0
C3orf49	0
THOC7	559
THOC7-AS1	0
RPL12P45	0
ATXN7	482
PSMD6-AS2	7
PSMD6	1620
LOC105377121	0
LOC107986093	0
PRICKLE2-AS1	0
LINC00994	0
PRICKLE2	3
PRICKLE2-AS2	0
PRDX3P4	0
ZMYM1	612
PRICKLE2-AS3	1
LOC101929316	0
LOC105377123	0
RNU6-739P	0
ADAMTS9	1
ADAMTS9-AS1	0
ADAMTS9-AS2	0
LOC105377124	0
LOC107986017	0
LOC105377125	0
EFCAB14P1	1
LOC105377127	0
LOC102724763	0
LOC107986094	0
MAGI1	1561
ILF2P1	1
LOC105377130	5
LOC107986018	3
RPL17P17	1
MAGI1-IT1	6
MAGI1-AS1	0
LOC105378644	1
LOC105377128	0
SLC25A26	18
LOC107986095	0
RNU6-787P	0
RN7SL482P	0
DPPA4P1	0
LRIG1	9
LOC105377141	0
LOC107986036	0
RPL21P41	0
SFPQ	5051
LOC105377142	1
LOC105377143	0
LOC105377144	0
KBTBD8	56
SUCLG2	1236
NDUFB4P1	0
LOC105377148	1
SUCLG2-AS1	5
FAM19A1	0
ZMYM4	1728
COPS8P2	0
LOC107986019	0
LOC105377146	0
RPLP0P8	0
PSMC1P1	102
FAM19A4	0
RNA5SP135	0
EOGT	215
TMF1	1138
RN7SL503P	0
UBA3	933
ARL6IP5	717
LMOD3	2
FRMD4B	108
RBM43P1	0
LOC642487	0
MITF	120
RN7SL418P	0
SAMMSON	0
RNPC3P1	0
LOC107984868	1
RPL5P4	1
UQCRHP4	0
LOC105377151	0
LOC107986096	0
LOC105377152	0
COX6CP6	0
HMGB1P36	0
RNU6-281P	0
FOXP1	240
FOXP1-AS1	1
RNY5P1	0
LOC105377155	0
EIF4E3	408
GPR27	0
PROK2	0
LOC105377156	0
RN7SL271P	0
LOC105377157	0
UBE2Q2P9	0
LINC00877	0
CCDC137P	0
KIAA0319L	941
LINC00870	2
LOC105377158	0
LOC105377159	0
RYBP	10
LOC105377160	0
LOC105377648	0
RNU1-62P	0
LOC105377161	0
LOC102724817	0
LOC105377162	0
LOC100419802	0
RNA5SP136	0
SHQ1	566
LOC107986097	1
LOC107986033	3
GXYLT2	63
PSMD12P	0
LAPTM4BP2	0
FTH1P23	1
PPP4R2	1575
RNU7-19P	0
NCDN	419
EBLN2	6
LOC107986098	0
RNU2-64P	0
CCDC75P1	0
RNU6-1270P	0
PDZRN3	0
LOC101927296	0
RNU7-119P	0
PDZRN3-AS1	0
LOC105377164	0
LOC105378645	5
LOC105377165	1
LOC101927346	0
HSP90AB5P	0
AKR1B1P2	0
CNTN3	0
LOC105377166	0
LOC105377167	0
LOC105377168	0
NIPA2P2	0
LOC107986099	0
TFAP2E	92
RN7SL294P	0
HNRNPA3P6	109
LOC105377207	0
MYLKP1	0
OR7E66P	0
OR7E22P	0
OR7E55P	0
LOC105377169	0
LSP1P2	0
PSMB2	3002
ALG1L6P	15
FAM86DP	114
LOC107986100	1
ENPP7P2	8
SNRPCP10	0
RPS3AP15	0
LOC107986101	0
OR7E121P	0
UNC93B3	0
LOC107986102	2
LOC105378646	0
RPL23AP49	2
CLUHP10	0
FRG2C	0
AGGF1P3	0
RARRES2P1	0
DUX4L26	0
LINC00960	4
ZNF717	0
C1orf216	123
ROBO2	1
LOC107986020	0
CAP1P1	0
LOC102724949	0
RNU6-386P	0
VDAC1P7	0
RNU6-217P	0
LOC105377171	0
LOC105377172	0
LOC105377173	0
ANKRD65	2
CLSPN	706
RN7SL647P	0
RN7SKP61	0
MRPS17P3	0
ROBO1	87
RPS12P6	0
RN7SL751P	0
LOC101927374	6
HMGB1P38	0
OSBPL9P1	0
AGO4	219
HNRNPA3P8	0
LOC105377177	0
LOC105377176	0
LOC105377175	0
LOC105377174	0
LINC02027	0
GBE1	611
RNU2-28P	0
SETP6	0
LOC105377178	0
AGO1	1802
LOC105377179	0
LOC105377180	13
RPL7AP23	0
CYP51A1P1	1
LOC101927439	0
LOC105377181	0
LOC105377183	0
LOC105377186	0
LOC105377187	0
SRRM1P2	0
AGO3	932
LOC105377188	1
LINC00971	0
LOC100130326	0
LOC105377192	0
LOC105377193	0
CADM2	0
SNORA95	0
CADM2-AS2	0
THAP12P2	0
LOC105378647	0
LOC102723364	0
RNU6-1129P	0
RN7SKP284	0
LINC02070	0
LOC101927518	0
LOC105377196	0
VGLL3	11
LOC285232	0
PPATP1	0
LINC00506	43
LOC100128093	0
CHMP2B	1333
POU1F1	0
KRT8P25	0
APOOP2	0
PSMC1P6	0
LOC105377198	0
RNU6-873P	0
HTR1F	0
RNU6ATAC6P	0
TEKT2	1
CGGBP1	1434
ZNF654	283
CBX5P1	0
C3orf38	470
LOC105377202	0
ABCF2P1	0
NDUFA5P5	0
ICE2P2	0
GAPDHP50	0
EPHA3	0
ADPRHL2	464
MTCO3P6	0
MTATP6P6	0
MTCO2P6	0
MTCO1P6	0
RNU6-712P	0
PROS2P	2
HSPE1P19	0
LOC101930420	0
LOC107984021	0
LOC107986037	0
COL8A2	0
RNU6-488P	0
PROS1	245
RNU6-511P	0
ARL13B	254
HMGN1P7	0
STX19	9
DHFR2	78
NSUN3	78
RBBP4P2	3
ARMC10P1	87
TRAPPC3	883
LOC105373992	0
WDR82P1	0
LINC00879	0
RPS18P6	0
MTHFD2P1	3
HNRNPKP4	1
LOC391556	0
RNU6-1094P	0
MTRNR2L12	0
LOC105378585	0
MAP7D1	2266
RPL18AP8	0
RCC2P5	0
CDV3P1	0
EPHA6	3
LOC107986103	0
LOC101929278	0
ARL6	106
LOC101929298	0
CRYBG3	364
LOC105373994	1
THRAP3	5017
RIOX2	1173
GABRR3	0
OR5BM1P	0
OR5AC1	0
OR5AC2	0
OR5AC4P	0
POU5F1P7	0
OR5H1	0
LOC105373996	0
OR5H14	0
UBE2V2P4	0
OR5H15	0
LOC105373998	0
LOC105373997	0
OR5H5P	0
OR5H3P	0
OR5H4P	0
LOC101929320	0
OR5H7P	0
LOC105373999	0
OR5H6	0
LOC107984938	0
OR5H2	0
OR5H8	0
OR5K4	0
LOC105374000	0
OR5K3	0
UBFD1P1	0
OR5K1	0
OR5K2	0
CLDND1	7413
RPL38P4	3
SH3D21	36
GPR15	71
CPOX	7930
RPL19P7	0
WWP1P1	0
ST3GAL6-AS1	9
ST3GAL6	96
PDLIM1P4	1
DCBLD2	11834
RNU6-26P	0
LOC105374002	6
EVA1B	266
RNU6-1263P	0
LOC105374003	274
ACTG1P13	0
LOC107986104	0
LOC105374004	0
LOC105374007	0
LOC105374006	0
LOC105374005	0
COL8A1	1
HP09053	0
STK40	941
CMSS1	1319
FILIP1L	3
LOC100506400	0
LOC105374010	6
LOC105374009	0
TMEM30CP	0
DUSP12P1	0
VTI1BP1	0
TBC1D23	439
LOC107984939	14
NIT2	518
TOMM70	2701
LNP1	28
TMEM45A	122
ADGRG7	2
GMFBP1	0
TFG	2264
ABI3BP	9
LOC100421580	0
RNU6-865P	0
LSM10	578
ACTR3P3	0
IMPG2	9
SENP7	261
ZNF90P1	1
LOC100287852	0
BTF3P16	0
FAM172BP	0
TRMT10C	1013
PCNP	3394
RPS18P5	113
RNU4-27P	0
RPL32P7	0
RNU6-1256P	0
ZBTB11	1165
RNY1P12	0
ZBTB11-AS1	135
RPL24	12617
LOC105374013	39
PDCL3P4	0
CEP97	493
NXPE3	246
TMEM88B	0
OSCP1	55
NFKBIZ	59
LINC02085	0
LOC101929411	0
LOC107986105	0
ZPLD1	2
LOC105374016	0
LOC107986106	0
LOC105374017	0
RNU6-461P	0
LOC105374018	0
LOC107984940	1
RNU1-43P	0
NDUFA4P2	0
LOC644681	0
TUBBP11	0
LOC100128179	0
TRE-CTC12-1	0
LOC105374019	3
LOC105374020	19
LOC391562	14
MRPS15	1297
LOC105374021	0
LOC107986107	0
LOC107986108	0
LOC105374023	0
ALCAM	1858
CBLB	217
LOC107986109	0
LOC105374024	0
LOC105374026	0
LOC105374027	0
CSF3R	0
LOC107986110	0
LOC107986111	0
LOC107986112	0
LOC101929485	0
LOC105374029	1
LOC101929534	1
LOC107986021	0
FCF1P3	0
MTND4P16	0
MTND4LP3	0
FTLP18	0
MTND3P6	0
MTND5P16	0
MTND6P6	0
MTND1P16	0
NMTRQ-TTG4-1	0
MTND2P14	0
RNU6-1308P	0
LOC344593	1
LINC00882	7
DUBR	18
LOC107984941	1
LOC649024	0
CCDC54	0
