Gene Symbol	SKOV_KO
DDX11L1	0
WASH7P	77
LOC100996442	16
RN7SL657P	2
LOC653160	5
LOC105377114	0
LOC105377115	0
PTPRG	924
LOC107986016	1
RPL10AP6	3
RNU2-10P	0
ID2B	0
LOC105377116	3
PTPRG-AS1	2
C3orf14	0
TMEM35B	173
FEZF2	0
LOC105377647	0
CADPS	0
RPL14P2	0
RN7SL863P	0
RNU6-139P	0
RPS10P10	0
KRT8P35	0
LINC00698	1
LOC107986043	1
ZMYM6	282
SYNPR	0
UBL5P3	0
SYNPR-AS1	0
RNA5SP134	0
SNTN	0
LOC105377119	0
LOC100130345	0
C3orf49	1
THOC7	893
THOC7-AS1	1
RPL12P45	0
ATXN7	573
PSMD6-AS2	14
PSMD6	2893
LOC105377121	0
LOC107986093	0
PRICKLE2-AS1	0
LINC00994	0
PRICKLE2	8
PRICKLE2-AS2	0
PRDX3P4	0
ZMYM1	1006
PRICKLE2-AS3	0
LOC101929316	0
LOC105377123	1
RNU6-739P	0
ADAMTS9	1
ADAMTS9-AS1	0
ADAMTS9-AS2	0
LOC105377124	0
LOC107986017	0
LOC105377125	0
EFCAB14P1	0
LOC105377127	0
LOC102724763	0
LOC107986094	0
MAGI1	614
ILF2P1	0
LOC105377130	1
LOC107986018	2
RPL17P17	0
MAGI1-IT1	3
MAGI1-AS1	1
LOC105378644	0
LOC105377128	0
SLC25A26	36
LOC107986095	0
RNU6-787P	0
RN7SL482P	0
DPPA4P1	0
LRIG1	12
LOC105377141	0
LOC107986036	0
RPL21P41	0
SFPQ	5828
LOC105377142	0
LOC105377143	0
LOC105377144	0
KBTBD8	308
SUCLG2	1015
NDUFB4P1	1
LOC105377148	0
SUCLG2-AS1	1
FAM19A1	0
ZMYM4	1227
COPS8P2	0
LOC107986019	0
LOC105377146	0
RPLP0P8	0
PSMC1P1	165
FAM19A4	1
RNA5SP135	0
EOGT	258
TMF1	1575
RN7SL503P	0
UBA3	1332
ARL6IP5	970
LMOD3	2
FRMD4B	77
RBM43P1	0
LOC642487	0
MITF	165
RN7SL418P	0
SAMMSON	0
RNPC3P1	0
LOC107984868	0
RPL5P4	0
UQCRHP4	0
LOC105377151	0
LOC107986096	0
LOC105377152	0
COX6CP6	0
HMGB1P36	0
RNU6-281P	0
FOXP1	223
FOXP1-AS1	0
RNY5P1	0
LOC105377155	0
EIF4E3	271
GPR27	1
PROK2	0
LOC105377156	0
RN7SL271P	0
LOC105377157	0
UBE2Q2P9	0
LINC00877	0
CCDC137P	0
