Gene Symbol	OVCAR_KO
DDX11L1	1
WASH7P	35
LOC100996442	239
RN7SL657P	5
LOC653160	16
LOC105377114	0
LOC105377115	2
PTPRG	611
LOC107986016	96
RPL10AP6	3
RNU2-10P	0
ID2B	2
LOC105377116	14
PTPRG-AS1	8
C3orf14	3
TMEM35B	157
FEZF2	0
LOC105377647	0
CADPS	0
RPL14P2	0
RN7SL863P	0
RNU6-139P	0
RPS10P10	0
KRT8P35	0
LINC00698	1
LOC107986043	0
ZMYM6	349
SYNPR	0
UBL5P3	0
SYNPR-AS1	0
RNA5SP134	0
SNTN	0
LOC105377119	0
LOC100130345	4
C3orf49	1
THOC7	752
THOC7-AS1	0
RPL12P45	0
ATXN7	746
PSMD6-AS2	55
PSMD6	1417
LOC105377121	0
LOC107986093	0
PRICKLE2-AS1	0
LINC00994	0
PRICKLE2	1
PRICKLE2-AS2	0
PRDX3P4	1
ZMYM1	1088
PRICKLE2-AS3	2
LOC101929316	0
LOC105377123	0
RNU6-739P	0
ADAMTS9	1
ADAMTS9-AS1	0
ADAMTS9-AS2	0
LOC105377124	0
LOC107986017	0
LOC105377125	0
EFCAB14P1	1
LOC105377127	0
LOC102724763	0
LOC107986094	3
MAGI1	893
ILF2P1	7
LOC105377130	61
LOC107986018	26
RPL17P17	6
MAGI1-IT1	39
MAGI1-AS1	5
LOC105378644	0
LOC105377128	0
SLC25A26	58
LOC107986095	0
RNU6-787P	0
RN7SL482P	0
DPPA4P1	0
LRIG1	8
LOC105377141	0
LOC107986036	0
RPL21P41	0
SFPQ	7702
LOC105377142	0
LOC105377143	0
LOC105377144	0
KBTBD8	86
SUCLG2	1646
NDUFB4P1	0
LOC105377148	12
SUCLG2-AS1	2
FAM19A1	0
ZMYM4	1578
COPS8P2	0
LOC107986019	0
LOC105377146	0
RPLP0P8	0
PSMC1P1	88
FAM19A4	0
RNA5SP135	0
EOGT	214
TMF1	1268
RN7SL503P	0
UBA3	1176
ARL6IP5	1067
LMOD3	0
FRMD4B	115
RBM43P1	0
LOC642487	0
MITF	52
RN7SL418P	0
SAMMSON	1
RNPC3P1	0
LOC107984868	10
RPL5P4	12
UQCRHP4	0
LOC105377151	0
LOC107986096	0
LOC105377152	0
COX6CP6	0
HMGB1P36	0
RNU6-281P	0
FOXP1	115
FOXP1-AS1	0
RNY5P1	0
LOC105377155	2
EIF4E3	375
GPR27	0
PROK2	0
LOC105377156	0
RN7SL271P	0
LOC105377157	0
UBE2Q2P9	0
LINC00877	0
CCDC137P	0
KIAA0319L	508
LINC00870	7
LOC105377158	0
LOC105377159	0
RYBP	7
LOC105377160	0
LOC105377648	0
RNU1-62P	0
LOC105377161	0
LOC102724817	0
LOC105377162	0
LOC100419802	0
RNA5SP136	0
SHQ1	538
LOC107986097	6
LOC107986033	22
GXYLT2	21
PSMD12P	0
LAPTM4BP2	0
FTH1P23	2
PPP4R2	1876
RNU7-19P	0
NCDN	163
EBLN2	68
LOC107986098	0
RNU2-64P	0
CCDC75P1	0
RNU6-1270P	0
PDZRN3	0
LOC101927296	0
RNU7-119P	0
PDZRN3-AS1	0
LOC105377164	0
LOC105378645	25
LOC105377165	2
LOC101927346	0
HSP90AB5P	0
AKR1B1P2	0
CNTN3	0
LOC105377166	0
LOC105377167	0
LOC105377168	0
NIPA2P2	0
LOC107986099	1
TFAP2E	72
RN7SL294P	0
HNRNPA3P6	106
LOC105377207	0
MYLKP1	0
OR7E66P	0
OR7E22P	2
OR7E55P	0
LOC105377169	3
LSP1P2	0
PSMB2	2951
ALG1L6P	30
FAM86DP	58
LOC107986100	16
ENPP7P2	22
SNRPCP10	0
RPS3AP15	0
LOC107986101	7
OR7E121P	0
UNC93B3	0
LOC107986102	6
LOC105378646	0
RPL23AP49	2
CLUHP10	0
FRG2C	0
AGGF1P3	1
RARRES2P1	1
DUX4L26	0
LINC00960	2
ZNF717	1
C1orf216	233
ROBO2	2
LOC107986020	0
CAP1P1	0
LOC102724949	0
RNU6-386P	0
VDAC1P7	0
RNU6-217P	0
LOC105377171	0
LOC105377172	0
LOC105377173	0
ANKRD65	8
CLSPN	938
RN7SL647P	0
RN7SKP61	0
MRPS17P3	0
ROBO1	34
RPS12P6	0
RN7SL751P	0
LOC101927374	80
HMGB1P38	0
OSBPL9P1	0
AGO4	313
HNRNPA3P8	0
LOC105377177	2
LOC105377176	0
LOC105377175	0
LOC105377174	0
LINC02027	0
GBE1	401
RNU2-28P	0
SETP6	1
LOC105377178	0
AGO1	1356
LOC105377179	0
LOC105377180	22
RPL7AP23	0
CYP51A1P1	4
LOC101927439	0
LOC105377181	0
LOC105377183	0
LOC105377186	0
LOC105377187	0
SRRM1P2	0
AGO3	1452
LOC105377188	6
LINC00971	0
LOC100130326	0
LOC105377192	0
LOC105377193	0
CADM2	0
SNORA95	0
CADM2-AS2	0
THAP12P2	0
LOC105378647	1
LOC102723364	0
RNU6-1129P	0
RN7SKP284	0
LINC02070	0
LOC101927518	0
LOC105377196	0
VGLL3	5
LOC285232	1
PPATP1	0
LINC00506	298
LOC100128093	0
CHMP2B	1165
POU1F1	0
KRT8P25	0
APOOP2	0
PSMC1P6	0
LOC105377198	0
RNU6-873P	0
HTR1F	0
RNU6ATAC6P	0
TEKT2	1
CGGBP1	1528
ZNF654	292
CBX5P1	4
C3orf38	622
LOC105377202	0
ABCF2P1	0
NDUFA5P5	0
ICE2P2	0
GAPDHP50	0
EPHA3	2
ADPRHL2	232
MTCO3P6	0
MTATP6P6	0
MTCO2P6	0
MTCO1P6	0
RNU6-712P	0
PROS2P	11
HSPE1P19	0
LOC101930420	0
LOC107984021	0
LOC107986037	0
COL8A2	4
RNU6-488P	0
PROS1	476
RNU6-511P	0
ARL13B	336
HMGN1P7	3
STX19	12
DHFR2	128
NSUN3	140
RBBP4P2	6
ARMC10P1	108
TRAPPC3	883
LOC105373992	0
WDR82P1	0
LINC00879	0
RPS18P6	0
MTHFD2P1	0
HNRNPKP4	0
LOC391556	0
RNU6-1094P	0
MTRNR2L12	3
LOC105378585	0
MAP7D1	413
RPL18AP8	0
RCC2P5	0
CDV3P1	0
EPHA6	2
LOC107986103	0
LOC101929278	1
ARL6	137
LOC101929298	0
CRYBG3	580
LOC105373994	6
THRAP3	1839
RIOX2	1341
GABRR3	0
OR5BM1P	0
OR5AC1	0
OR5AC2	0
OR5AC4P	0
POU5F1P7	0
OR5H1	0
LOC105373996	0
OR5H14	0
UBE2V2P4	0
OR5H15	0
LOC105373998	0
LOC105373997	0
OR5H5P	0
OR5H3P	0
OR5H4P	0
LOC101929320	0
OR5H7P	0
LOC105373999	1
OR5H6	0
LOC107984938	20
OR5H2	0
OR5H8	0
OR5K4	0
LOC105374000	0
OR5K3	0
UBFD1P1	0
OR5K1	1
OR5K2	2
CLDND1	9578
RPL38P4	6
SH3D21	187
GPR15	155
CPOX	7348
RPL19P7	0
WWP1P1	0
ST3GAL6-AS1	6
ST3GAL6	343
PDLIM1P4	12
DCBLD2	13525
RNU6-26P	0
LOC105374002	7
EVA1B	334
RNU6-1263P	0
LOC105374003	223
ACTG1P13	0
LOC107986104	0
LOC105374004	0
LOC105374007	0
LOC105374006	0
LOC105374005	0
COL8A1	0
HP09053	3
STK40	308
CMSS1	1219
FILIP1L	13
